URL,Text_1,Text_2,Text_3
www.gapers.it/ortoredirect/0000/,ABETE DEI NEBRODI,Abies nebrodensis (Lojac.) Mattei,Fam. Pinaceae
www.gapers.it/ortoredirect/0001/,PERO CORVINO,Amelanchier ovalis Medik. ,Fam. Rosaceae
www.gapers.it/ortoredirect/0002/,CISTO A FOGLIE DI LAURO,Cistus laurifolius L.,Fam. Cistaceae
www.gapers.it/ortoredirect/0003/,CORIARIA,"Coriaria myrtifolia L. ,",Fam. Coriariaceae
www.gapers.it/ortoredirect/0004/,BIANCOSPINO DI SICILIA,Crataegus L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0005/,CITISO DELLE EOLIE,Cytisus Desf.,Fam. Fabaceae
www.gapers.it/ortoredirect/0006/,EFEDRINA,Ephedra fragilis Desf.,Fam. Ephedraceae
www.gapers.it/ortoredirect/0007/,ACERO OPALO,Acer opalus Mill.,Fam. Sapindaceae
www.gapers.it/ortoredirect/0008/,GINESTRA DELL'ETNA,Genista aetnensis (Raf. ex Biv.) DC.,Fam. Fabaceae
www.gapers.it/ortoredirect/0009/,GINESTRA CENERINA,Genista cinerea (Vill.) DC.,Fam. Fabaceae
www.gapers.it/ortoredirect/0010/,GINESTRA DI SPAGNA,Genista hispanica L. ,Fam. Fabaceae
www.gapers.it/ortoredirect/0011/,PERIPLOCA MAGGIORE,Periploca graeca L.,Fam. Apocynaceae
www.gapers.it/ortoredirect/0012/,GINEPRO ARTICOLATO,Tetraclinis articulata (Vahl) Mast.,Fam. Cupressaceae
www.gapers.it/ortoredirect/0013/,FILADELFO,"Philadelphus coronarius L., Spl. Pl.",Fam. Hydrangeaceae
www.gapers.it/ortoredirect/0014/,PINO LORICATO,Pinus leucodrmis  H.Cristi 1863,Fam. Pinaceae
www.gapers.it/ortoredirect/0015/,QUERCIA VALLONEA,Quercus ithaburensis subsp. macrolepis (Kotschy) ,Fam. Fagaceae
www.gapers.it/ortoredirect/0016/,QUERCIA FRAGNO,Quercus trojana Webb,Fam. Fagaceae
www.gapers.it/ortoredirect/0017/,SEQUOIA SEMPREVERDE,Sequoia sempervirens (D.Don) Endl.,Fam. Cupressaceae
www.gapers.it/ortoredirect/0018/,ACERO CAMPESTRE,"Acer campestre L., Sp. Pl.",Fam. Sapindaceae
www.gapers.it/ortoredirect/0019/,ACERO MINORE,Acer monspessulanum L.,Fam. Sapindaceae
www.gapers.it/ortoredirect/0020/,ACERO NEGUNDO,Acer negundo L.,Fam  Sapindaceae
www.gapers.it/ortoredirect/0021/,ACERO ITALICO,Acer opalus Mill.,Fam. Sapindaceae
